wl,n
8.266E-06,1
1.494E-05,1.002
1.55E-05,1
2.48E-05,1
4.133E-05,1
6.199E-05,1
8.266E-05,1
8.856E-05,1.001
9.537E-05,1.001
0.000124,1
0.000248,1.001
0.0004275,0.999
0.000435,0.999
0.0004959,1
0.0006199,1
0.00124,0.998
0.00155,0.997
0.002066,0.996
0.00248,0.995
0.003542,0.992
0.004133,0.991
0.004428,0.989
0.004769,0.988
0.005166,0.987
0.005636,0.986
0.006199,0.983
0.006525,0.981
0.006888,0.979
0.007293,0.975
0.007749,0.97
0.008266,0.963
0.008856,0.955
0.009184,0.949
0.009537,0.944
0.009919,0.937
0.01033,0.929
0.01078,0.92
0.01127,0.911
0.01181,0.9
0.0124,0.889
0.01305,0.877
0.01333,0.872
0.01362,0.868
0.01393,0.865
0.01409,0.866
0.01417,0.865
0.01425,0.863
0.01442,0.862
0.01459,0.864
0.01467,0.865
0.01476,0.865
0.01485,0.861
0.01494,0.86
0.01512,0.857
0.0155,0.853
0.0159,0.85
0.01631,0.847
0.01675,0.842
0.01722,0.835
0.01771,0.828
0.01823,0.827
0.01879,0.828
0.01937,0.83
0.02,0.833
0.02066,0.838
0.02138,0.836
0.02214,0.83
0.02296,0.82
0.02384,0.808
0.0248,0.795
0.0253,0.787
0.02583,0.778
0.02638,0.771
0.02695,0.767
0.02755,0.767
0.02818,0.77
0.02883,0.77
0.02952,0.766
0.03024,0.76
0.031,0.754
0.03179,0.751
0.03263,0.749
0.03351,0.745
0.03444,0.741
0.03542,0.737
0.03647,0.73
0.03757,0.73
0.03875,0.757
0.03999,0.818
0.04065,0.844
0.04133,0.868
0.04203,0.887
0.04275,0.896
0.04428,0.892
0.04592,0.885
0.04769,0.886
0.04959,0.905
0.05166,0.953
0.05276,1.005
0.05391,1.08
0.0551,1.183
0.05636,1.292
0.05767,1.406
0.05904,1.499
0.06199,1.584
0.06525,1.612
0.06888,1.565
0.07293,1.513
0.07749,1.505
0.08266,1.54
0.08856,1.591
0.09537,1.592
0.1033,1.583
0.1078,1.569
0.1127,1.556
0.1181,1.548
0.124,1.572
0.1305,1.585
0.1378,1.614
0.1459,1.666
0.155,1.727
0.1653,1.786
0.1771,1.728
0.1907,1.665
0.2066,1.618
0.2254,1.603
0.248,1.638
0.261,1.702
0.2818,1.848
0.2952,1.927
0.31,1.995
0.3263,2.039
0.3444,2.024
0.3594,1.967
0.3757,1.96
0.3936,1.96
0.4133,1.95
0.4428,1.862
0.4769,1.541
0.5166,0.878
0.5636,0.613
0.6199,0.487
0.8266,0.418
1.24,0.375
2.48,1.273
12.4,26.9
24.8,65.5
124,222
248,345
,
wl,k
8.266E-06,2.56E-09
1.494E-05,1.95E-08
1.55E-05,5.22E-09
2.48E-05,3.05E-08
4.133E-05,1.85E-07
6.199E-05,8.83E-07
8.266E-05,2.28E-06
8.856E-05,1.94E-06
9.537E-05,2.56E-06
0.000124,2.53E-06
0.000248,2.87E-05
0.0004275,0.000164
0.000435,0.000145
0.0004959,0.000211
0.0006199,0.00012
0.00124,0.00096
0.00155,0.00163
0.002066,0.0034
0.00248,0.00471
0.003542,0.00731
0.004133,0.00895
0.004428,0.00976
0.004769,0.0106
0.005166,0.0113
0.005636,0.0118
0.006199,0.0115
0.006525,0.0111
0.006888,0.0107
0.007293,0.0103
0.007749,0.0101
0.008266,0.0101
0.008856,0.0109
0.009184,0.0118
0.009537,0.0133
0.009919,0.0152
0.01033,0.0178
0.01078,0.0224
0.01127,0.0283
0.01181,0.0353
0.0124,0.0454
0.01305,0.057
0.01333,0.0636
0.01362,0.0718
0.01393,0.0807
0.01409,0.0838
0.01417,0.0844
0.01425,0.087
0.01442,0.0918
0.01459,0.0956
0.01467,0.0962
0.01476,0.0938
0.01485,0.0943
0.01494,0.0963
0.01512,0.101
0.0155,0.109
0.0159,0.117
0.01631,0.124
0.01675,0.131
0.01722,0.14
0.01771,0.155
0.01823,0.171
0.01879,0.186
0.01937,0.199
0.02,0.211
0.02066,0.219
0.02138,0.223
0.02214,0.23
0.02296,0.241
0.02384,0.255
0.0248,0.272
0.0253,0.284
0.02583,0.298
0.02638,0.315
0.02695,0.335
0.02755,0.355
0.02818,0.371
0.02883,0.384
0.02952,0.398
0.03024,0.415
0.031,0.438
0.03179,0.461
0.03263,0.484
0.03351,0.511
0.03444,0.54
0.03542,0.573
0.03647,0.617
0.03757,0.672
0.03875,0.747
0.03999,0.788
0.04065,0.799
0.04133,0.804
0.04203,0.803
0.04275,0.802
0.04428,0.814
0.04592,0.855
0.04769,0.917
0.04959,1
0.05166,1.12
0.05276,1.18
0.05391,1.24
0.0551,1.28
0.05636,1.29
0.05767,1.27
0.05904,1.21
0.06199,1.07
0.06525,0.95
0.06888,0.865
0.07293,0.865
0.07749,0.898
0.08266,0.934
0.08856,0.922
0.09537,0.899
0.1033,0.908
0.1078,0.92
0.1127,0.945
0.1181,0.99
0.124,1.05
0.1305,1.07
0.1378,1.14
0.1459,1.17
0.155,1.22
0.1653,1.15
0.1771,1.13
0.1907,1.19
0.2066,1.3
0.2254,1.45
0.248,1.65
0.261,1.77
0.2818,1.87
0.2952,1.89
0.31,1.88
0.3263,1.86
0.3444,1.81
0.3594,1.84
0.3757,1.88
0.3936,1.89
0.4133,1.86
0.4428,1.81
0.4769,1.71
0.5166,2.01
0.5636,2.64
0.6199,3.31
0.8266,5.13
1.24,8.36
2.48,18.1
12.4,80.7
24.8,124
124,256
248,379
